country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Australia,Italy,86,83,2807,6,Josh Green,00:10,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Australia,Italy,86,83,2807,7,Joe Ingles,33:22,14,5/11,1/2,4/9,0/0,0,4,4,5,3,1,0,0,-4,16
Australia,Italy,86,83,2807,8,Matthew Dellavedova,22:53,2,0/3,0/1,0/2,2/2,0,1,1,3,3,1,0,0,5,2
Australia,Italy,86,83,2807,9,Nathan Sobey,01:39,0,0/2,0/1,0/1,0/0,0,1,1,0,1,0,0,0,-5,-1
Australia,Italy,86,83,2807,10,Matisse Thybulle,20:18,7,2/3,1/2,1/1,2/2,0,3,3,4,2,0,1,1,7,15
Australia,Italy,86,83,2807,11,Dante Exum,17:57,0,0/2,0/1,0/1,0/2,0,3,3,4,2,4,1,0,-1,0
Australia,Italy,86,83,2807,12,Aron Baynes,14:27,14,6/11,4/8,2/3,0/0,5,2,7,1,2,1,0,1,-8,17
Australia,Italy,86,83,2807,13,Jock  Landale,23:56,18,7/11,6/9,1/2,3/4,4,3,7,2,2,1,1,1,16,23
Australia,Italy,86,83,2807,14,Duop Thomas Reath,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Australia,Italy,86,83,2807,15,Nick Kay,26:26,15,6/7,5/6,1/1,2/2,4,3,7,2,2,0,0,1,1,24
Czech Republic,France,77,97,2807,1,Patrik Auda,22:54,14,5/10,5/9,0/1,4/8,2,0,2,0,3,3,0,0,-8,4
