country,vs,team_score,vs_score,#,Players,Pts,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF,FGS,FGA,2PtsS,2PtsA,3PtsS,3PtsA,FTS,FTA,day,month,Sec
USA,Iran,120,66,12,Jrue Holiday,8,0,4,4,3,0,1,1,2,32,14,3,6,1,3,2,3,0,0,28,07,1391
USA,Iran,120,66,13,Bam Adebayo,6,0,0,0,1,0,0,1,3,18,8,3,6,3,6,0,0,0,0,28,07,790
USA,Iran,120,66,14,Draymond Green,5,1,3,4,4,4,2,0,0,28,11,1,1,0,0,1,1,2,2,28,07,897
USA,Iran,120,66,15,Devin Booker,16,1,3,4,1,2,1,3,0,29,20,6,9,6,8,0,1,4,4,28,07,1134
Iran,USA,66,120,3,Mohammadsina Vahedi,0,0,4,4,0,2,0,0,0,-4,-1,0,5,0,3,0,2,0,0,28,07,552
Iran,USA,66,120,5,Pujan Jalalpoor,0,0,4,4,3,1,0,0,0,-5,5,0,2,0,0,0,2,0,0,28,07,646
Iran,USA,66,120,7,Mohammad Hassanzadeh,4,1,1,2,1,3,0,0,0,-16,6,2,3,2,3,0,0,0,0,28,07,749
Iran,USA,66,120,8,Saeid Davarpanah,8,1,1,2,2,2,2,0,0,-19,6,3,7,1,3,2,4,0,0,28,07,816
Iran,USA,66,120,13,Mohammad Jamshidijafarabadi,14,1,1,2,3,0,3,0,0,-15,6,5,14,3,8,2,6,2,3,28,07,1308
Iran,USA,66,120,14,Mohammadsamad Nik Khahbahrami,2,0,3,3,1,2,6,0,0,-38,-4,1,5,1,3,0,2,0,0,28,07,1085
Iran,USA,66,120,15,Hamed Haddadi,14,4,3,7,1,2,4,0,1,-35,13,5,7,5,7,0,0,4,8,28,07,1341
Iran,USA,66,120,17,Navid Rezaeifar,13,2,0,2,2,1,2,1,0,-35,11,5,10,2,6,3,4,0,0,28,07,1434
Iran,USA,66,120,20,Michael Rostampour,0,1,1,2,0,1,0,0,0,-9,0,0,2,0,1,0,1,0,0,28,07,525
Iran,USA,66,120,23,Aaron Geramipoor,0,2,2,4,0,0,0,0,0,-11,0,0,4,0,4,0,0,0,0,28,07,611
Iran,USA,66,120,41,Arsalan Kazemi,5,0,4,4,2,0,1,1,0,-33,10,2,2,2,2,0,0,1,2,28,07,1447
Iran,USA,66,120,88,Behnam Yakhchalidehkordi,6,0,1,1,2,1,2,1,0,-50,4,2,6,0,1,2,5,0,0,28,07,1486
Italy,Australia,83,86,0,Marco Spissu,0,0,1,1,0,0,0,0,0,-4,1,0,0,0,0,0,0,0,0,28,07,311
Italy,Australia,83,86,1,Nico Mannion,21,0,3,3,7,3,1,0,0,4,24,9,15,8,10,1,5,2,2,28,07,1454
Italy,Australia,83,86,7,Stefano Tonut,8,0,1,1,1,1,0,0,0,-8,8,2,4,0,1,2,3,2,2,28,07,1338
Italy,Australia,83,86,8,Danilo Gallinari,5,0,2,2,0,0,0,0,0,5,3,2,5,2,4,0,1,1,2,28,07,1126
Italy,Australia,83,86,9,Nicolò Melli,0,0,4,4,2,1,1,0,2,-9,4,0,3,0,2,0,1,0,0,28,07,1469
Italy,Australia,83,86,13,Simone Fontecchio,22,1,3,4,0,2,1,0,1,-6,19,10,17,9,13,1,4,1,1,28,07,1709
Italy,Australia,83,86,16,Amedeo Tessitori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,07,0
Italy,Australia,83,86,17,Giampaolo Ricci,7,0,2,2,2,4,1,1,0,11,11,3,3,2,2,1,1,0,0,28,07,848
Italy,Australia,83,86,24,Riccardo Moraschini,2,0,2,2,2,0,0,1,0,3,5,0,2,0,2,0,0,2,2,28,07,691
Italy,Australia,83,86,31,Michele Vitali,6,1,1,2,1,2,0,0,0,5,7,2,4,1,1,1,3,1,1,28,07,1062
Italy,Australia,83,86,33,Achille Polonara,12,3,4,7,1,2,3,1,0,-13,11,5,12,3,6,2,6,0,0,28,07,1357
Italy,Australia,83,86,54,Alessandro Pajola,0,0,0,0,0,3,0,0,0,-3,-1,0,1,0,0,0,1,0,0,28,07,635
Australia,Italy,86,83,4,Chris Goulding,0,1,0,1,0,0,0,0,0,-7,-2,0,3,0,1,0,2,0,0,28,07,188
Australia,Italy,86,83,5,Patty Mills,16,1,5,6,5,1,2,1,0,11,15,6,17,4,8,2,9,2,2,28,07,2144
Australia,Italy,86,83,6,Josh Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,07,10
Australia,Italy,86,83,7,Joe Ingles,14,0,4,4,5,3,1,0,0,-4,16,5,11,1,2,4,9,0,0,28,07,2002
Australia,Italy,86,83,8,Matthew Dellavedova,2,0,1,1,3,3,1,0,0,5,2,0,3,0,1,0,2,2,2,28,07,1373
Australia,Italy,86,83,9,Nathan Sobey,0,0,1,1,0,1,0,0,0,-5,-1,0,2,0,1,0,1,0,0,28,07,99
Australia,Italy,86,83,10,Matisse Thybulle,7,0,3,3,4,2,0,1,1,7,15,2,3,1,2,1,1,2,2,28,07,1218
Australia,Italy,86,83,11,Dante Exum,0,0,3,3,4,2,4,1,0,-1,0,0,2,0,1,0,1,0,2,28,07,1077
Australia,Italy,86,83,12,Aron Baynes,14,5,2,7,1,2,1,0,1,-8,17,6,11,4,8,2,3,0,0,28,07,867
Australia,Italy,86,83,13,Jock  Landale,18,4,3,7,2,2,1,1,1,16,23,7,11,6,9,1,2,3,4,28,07,1436
Australia,Italy,86,83,14,Duop Thomas Reath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,07,0
Australia,Italy,86,83,15,Nick Kay,15,4,3,7,2,2,0,0,1,1,24,6,7,5,6,1,1,2,2,28,07,1586
